Pair,LpFee
AADA/ADA,0.3
ADAX/ADA,0.3
ASHIB/ADA,1
BDOGE/ADA,1
BISON/ADA,0.3
CARGO/ADA,0.3
CDX/ADA,1
CHRLZ/ADA,0.3
CLAP/ADA,0.3
CNFT/ADA,0.3
Card…rm/ADA,0.3
DANA/ADA,0.05
DANA/ADA,0.3
DRIP/ADA,0.3
DRIP/ADA,1
FIRE/ADA,0.3
FIRE/ADA,1
FLANO/ADA,1
FLICK/ADA,0.3
GOKEY/ADA,0.3
Growth/ADA,1
HOSKY/ADA,0.05
HOSKY/ADA,0.3
LQ/ADA,0.3
MELD/ADA,0.3
MELD/ADA,1
MEOW/ADA,0.3
MILK/ADA,0.3
MIN/ADA,0.05
MIN/ADA,0.3
MINt/ADA,0.05
MINt/ADA,0.3
MONET/ADA,0.3
PAVIA/ADA,0.3
RAG/ADA,1
RAVE/ADA,1
REVU/ADA,0.3
SHIBA/ADA,1
SKULL/ADA,1
SUNDAE/ADA,0.3
VYFI/ADA,0.3
WMT/ADA,0.05
WMT/ADA,0.3
WMT/ADA,1
XDIA…ND/ADA,1
XRAY/ADA,0.3
cMETA/ADA,0.3
cNETA/ADA,0.3
cbTHC/ADA,0.3
unsi…en/ADA,1
